product_id,product_name,category,brand,price,cost,stock_quantity,weight_kg,rating,review_count,launch_date,is_bestseller,supplier_country
PROD_00001,Customer-focused responsive encryption,Clothing,BrandD,224.75,138.82,152,0.68,1.1,4710,2024-12-15,False,South Korea
PROD_00002,Team-oriented optimal alliance,Beauty,BrandB,68.01,52.8,588,0.23,1.3,424,2024-02-07,False,Japan
PROD_00003,Realigned optimizing standardization,Automotive,BrandD,1012.47,741.25,562,5.31,4.7,1456,2025-04-30,True,Germany
PROD_00004,Advanced logistical intranet,Home & Garden,BrandD,216.31,153.12,307,3.99,2.5,3027,2022-10-11,False,Germany
PROD_00005,Profit-focused heuristic ability,Electronics,BrandE,804.52,593.76,627,1.88,2.1,335,2022-10-26,False,South Korea
PROD_00006,Synergistic multimedia moratorium,Clothing,BrandE,22.67,13.76,957,0.97,3.2,4682,2023-10-29,False,Germany
PROD_00007,Automated logistical open architecture,Home & Garden,BrandA,278.65,203.35,950,6.99,3.5,2707,2024-04-10,False,Japan
PROD_00008,Future-proofed heuristic ability,Sports,BrandE,632.13,400.01,546,6.78,1.5,2282,2022-07-08,False,Japan
PROD_00009,Compatible local Internet solution,Automotive,BrandE,78.55,50.35,307,4.75,1.7,3770,2022-12-08,False,China
PROD_00010,Networked directional adapter,Sports,BrandC,338.72,224.26,213,7.87,3.3,3318,2022-11-09,False,Germany
PROD_00011,Grass-roots neutral complexity,Books,Generic,6.33,3.83,81,9.75,4.7,3999,2025-01-21,True,Germany
PROD_00012,Configurable bottom-line migration,Sports,BrandA,633.07,448.97,429,3.04,2.1,4108,2024-09-16,False,Germany
PROD_00013,Intuitive coherent implementation,Automotive,BrandB,1005.49,624.52,401,4.47,3.2,463,2024-12-13,False,South Korea
PROD_00014,Focused mission-critical migration,Home & Garden,BrandB,411.78,286.35,833,8.25,3.0,2776,2023-04-05,False,China
PROD_00015,Networked actuating Internet solution,Sports,BrandB,336.26,216.22,42,7.64,2.5,2969,2022-10-03,False,Japan
PROD_00016,Synchronized 6thgeneration matrix,Clothing,BrandE,27.42,20.29,607,0.84,3.2,2640,2024-06-04,False,China
PROD_00017,Implemented motivating productivity,Clothing,Generic,136.03,97.5,422,0.27,2.3,3555,2022-07-30,False,USA
PROD_00018,Integrated well-modulated model,Electronics,BrandE,1447.15,1035.17,79,2.87,1.9,1990,2023-11-05,False,Germany
PROD_00019,Team-oriented full-range array,Electronics,BrandD,997.6,793.22,745,3.2,1.3,1857,2024-02-05,False,USA
PROD_00020,Progressive needs-based monitoring,Electronics,BrandD,1061.83,780.17,89,2.37,1.8,1932,2022-11-20,False,Japan
PROD_00021,Programmable holistic array,Clothing,BrandE,118.33,92.37,484,1.64,1.4,3821,2024-10-09,False,Germany
PROD_00022,Synchronized exuding knowledgebase,Sports,BrandB,632.03,490.61,618,6.28,1.3,2011,2025-05-10,False,USA
PROD_00023,Reverse-engineered attitude-oriented workforce,Clothing,BrandA,102.67,74.09,656,0.78,1.7,4699,2024-12-14,False,USA
PROD_00024,Adaptive human-resource capacity,Automotive,BrandC,631.35,497.34,643,8.74,2.2,4742,2022-10-26,False,South Korea
PROD_00025,Fully-configurable methodical monitoring,Home & Garden,BrandA,484.13,366.84,963,6.44,1.4,1026,2024-07-09,False,USA
PROD_00026,Reduced heuristic pricing structure,Automotive,BrandD,922.82,587.34,273,4.77,4.0,2187,2023-07-03,False,Japan
PROD_00027,Multi-layered 6thgeneration process improvement,Beauty,BrandC,184.7,112.87,84,3.94,3.3,2995,2023-07-20,False,USA
PROD_00028,Optimized background alliance,Clothing,Generic,298.36,189.04,320,1.27,2.4,3836,2023-04-18,False,South Korea
PROD_00029,Customizable fault-tolerant knowledgebase,Beauty,BrandD,196.91,128.06,304,4.99,3.5,174,2023-03-16,False,USA
PROD_00030,Upgradable tertiary hardware,Clothing,BrandD,67.95,47.24,588,1.58,3.7,753,2023-12-23,False,USA
PROD_00031,Object-based methodical Local Area Network,Sports,BrandA,550.19,336.93,800,8.47,4.1,152,2024-08-31,True,Japan
PROD_00032,Cross-platform well-modulated system engine,Beauty,BrandD,54.6,35.89,601,9.32,1.4,383,2022-11-18,False,South Korea
